id,zorluk,kategori,soru,beklenen_kaynak,dokumanda_var_mi,referans_cevap,cevap,bulunan_kaynaklar,sure_sn
201,Negatif,Kapsam Disi,Blockchain tabanlı akıllı sözleşmelerde gaz (gas) ücreti nasıl hesaplanır?,-,Hayır,Bu bilgi dokümanlarda bulunamadı.,Bu bilgi dokümanlarda bulunamadı.,mock-transactions.json ($.transactions[6]); 728_profiles.json ($.safetyAndDataQuality); 728_profiles.json ($.fieldGuide),25.04
202,Negatif,Kapsam Disi,Kuantum dolanıklığının kübit hata oranlarına etkisi nedir?,-,Hayır,Bu bilgi dokümanlarda bulunamadı.,Bu bilgi dokümanlarda bulunamadı.,lsarSist-H8_FourierTransform.pdf (sayfa 7); 728_profiles.json ($.safetyAndDataQuality); 728_profiles.json ($.fieldGuide),16.02
203,Negatif,Kapsam Disi,GDPR kapsamında kişisel verilerin azami saklama süresi ne kadardır?,-,Hayır,Bu bilgi dokümanlarda bulunamadı.,Bu bilgi dokümanlarda bulunamadı.,728_profiles.json ($.safetyAndDataQuality); 728_profiles.json ($.fieldGuide); 728_profiles.json ($.statistics),13.25
204,Negatif,Kapsam Disi,Kubernetes'te pod autoscaling eşik değerleri nasıl yapılandırılır?,-,Hayır,Bu bilgi dokümanlarda bulunamadı.,Bu bilgi dokümanlarda bulunamadı.,728_profiles.json ($.safetyAndDataQuality); 728_profiles.json ($.fieldGuide); 728_profiles.json ($.statistics),13.99
205,Negatif,Kapsam Disi,Porter'ın beş güç analizi bir pazara nasıl uygulanır?,-,Hayır,Bu bilgi dokümanlarda bulunamadı.,Bu bilgi dokümanlarda bulunamadı.,728_profiles.json ($.safetyAndDataQuality); 728_profiles.json ($.statistics); 728_profiles.json ($.fieldGuide),13.84
206,Negatif,Kapsam Disi,Fotosentezde Calvin döngüsünün ATP tüketimi nedir?,-,Hayır,Bu bilgi dokümanlarda bulunamadı.,Bu bilgi dokümanlarda bulunamadı.,728_profiles.json ($.profiles[149]); 728_profiles.json ($.safetyAndDataQuality); 728_profiles.json ($.metadata),15.18
207,Negatif,Kapsam Disi,Wavelet dönüşümünün zaman-frekans çözünürlüğü avantajı nedir?,-,Hayır,Bu bilgi dokümanlarda bulunamadı.,Bu bilgi dokümanlarda bulunamadı.,lsarSist-H8_FourierTransform.pdf (sayfa 14); 728_profiles.json ($.safetyAndDataQuality); 728_profiles.json ($.statistics),15.1
208,Negatif,Kapsam Disi,Dizel motorlarda ortak hat (common rail) yakıt enjeksiyon basıncı kaç bardır?,-,Hayır,Bu bilgi dokümanlarda bulunamadı.,Bu bilgi dokümanlarda bulunamadı.,lsarSist-H9_ZTransform.pdf (sayfa 10); 728_profiles.json ($.safetyAndDataQuality); 728_profiles.json ($.statistics),14.62
209,Negatif,Yakin-Gurultulu,ACC-456 hesabının Ocak 2024 dönemindeki toplam harcaması nedir?,-,Hayır,Bu bilgi dokümanlarda bulunamadı.,Bu bilgi dokümanlarda bulunamadı.,mock-transactions.json ($.transactions[4]); mock-transactions.json ($.transactions[0]); mock-transactions.json ($.transactions[6]),11.69
210,Negatif,Yakin-Gurultulu,TXN-020 numaralı işlemin tutarı ve kategorisi nedir?,-,Hayır,Bu bilgi dokümanlarda bulunamadı.,Bu bilgi dokümanlarda bulunamadı.,mock-transactions.json ($.transactions[1]); mock-transactions.json ($.transactions[7]); mock-transactions.json ($.transactions[9]),14.45
211,Negatif,Yakin-Gurultulu,"""Havacılık ve Uzay"" sektöründeki profillerin ortalama deneyim yılı kaçtır?",-,Hayır,Bu bilgi dokümanlarda bulunamadı.,Bulunamadı,728_profiles.json (code_interpreter (code_interpreter_sandbox)),7.77
212,Negatif,Yakin-Gurultulu,Erzurum şehrinde hizmet veren kaç profil bulunmaktadır?,-,Hayır,Bu bilgi dokümanlarda bulunamadı.,Erzurum şehrinde hizmet veren 0 profil bulunmaktadır.,728_profiles.json (code_interpreter (code_interpreter_sandbox)),7.56
213,Negatif,Yakin-Gurultulu,"""Ahmet Yıldırım"" adlı profilin uzmanlık alanı ve şehri nedir?",-,Hayır,Bu bilgi dokümanlarda bulunamadı.,Bu bilgi dokümanlarda bulunamadı.,728_profiles.json ($.profiles[500]); 728_profiles.json ($.profiles[252]); 728_profiles.json ($.profiles[660]),22.07
214,Negatif,Yakin-Gurultulu,airports.json veri setindeki Türkiye'ye ait havaalanlarının IATA kodları nelerdir?,-,Hayır,Bu bilgi dokümanlarda bulunamadı.,Bu bilgi dokümanlarda bulunamadı.,728_profiles.json ($.metadata); 728_profiles.json ($.profiles[397]); 728_profiles.json ($.profiles[396]),21.93
215,Negatif,Yakin-Gurultulu,us-states veri setinde her eyaletin nüfusu kaç olarak belirtilmiştir?,-,Hayır,Bu bilgi dokümanlarda bulunamadı.,Bu bilgi dokümanlarda bulunamadı.,728_profiles.json ($.safetyAndDataQuality); 728_profiles.json ($.profiles[395]); 728_profiles.json ($.profiles[397]),30.96
