id,zorluk,kategori,soru,beklenen_kaynak,dokumanda_var_mi,referans_cevap,cevap,bulunan_kaynaklar,sure_sn
216,Negatif,Yakin-Gurultulu,728_profiles veri setinde profillerin kredi puanı (credit score) ortalaması kaçtır?,-,Hayır,Bu bilgi dokümanlarda bulunamadı.,Bu bilgi dokümanlarda bulunamadı.,728_profiles.json ($.statistics); 728_profiles.json ($.profiles[393]); 728_profiles.json ($.profiles[396]),84.54
217,Negatif,Yanlis On Kabul,"Bağlamdan bağımsız dilbilgisi dokümanında anlatılan ""Tür 3 düzenli dilbilgisi"" tanımı nedir?",-,Hayır,Bu bilgi dokümanlarda bulunamadı.,Bu bilgi dokümanlarda bulunamadı.,8-Baglamdan_bagimsiz_dilbilgisi.pdf (sayfa 2); 8-Baglamdan_bagimsiz_dilbilgisi.pdf (sayfa 1); 728_profiles.json ($.safetyAndDataQuality),15.83
218,Negatif,Yanlis On Kabul,mock-transactions veri setindeki ikinci hesabın (ACC-124) kapanış bakiyesi nedir?,-,Hayır,Bu bilgi dokümanlarda bulunamadı.,Bu bilgi dokümanlarda bulunamadı.,mock-transactions.json (code_interpreter (code_interpreter_sandbox)),26.51
219,Negatif,Yanlis On Kabul,"Fourier dokümanında verilen ""hızlı ters çekirdek teoremi""nin ispatı hangi adımlarla yapılmıştır?",-,Hayır,Bu bilgi dokümanlarda bulunamadı.,Bu bilgi dokümanlarda bulunamadı.,lsarSist-H8_FourierTransform.pdf (sayfa 3); 728_profiles.json ($.safetyAndDataQuality); 728_profiles.json ($.metadata),15.39
220,Negatif,Yanlis On Kabul,Summer School planında ikinci ay için ayrılan bütçe ne kadardır?,-,Hayır,Bu bilgi dokümanlarda bulunamadı.,Bu bilgi dokümanlarda bulunamadı.,728_profiles.json ($.statistics); 728_profiles.json ($.safetyAndDataQuality); 728_profiles.json ($.metadata),13.97
221,Negatif,Yanlis On Kabul,test2.txt hikâyesinde anlatıcının kız kardeşinin adı nedir?,-,Hayır,Bu bilgi dokümanlarda bulunamadı.,Bu bilgi dokümanlarda bulunamadı.,728_profiles.json ($.safetyAndDataQuality); 728_profiles.json ($.fieldGuide); 728_profiles.json ($.statistics),14.56
222,Negatif,Yanlis On Kabul,Z-Dönüşümü ders notlarında 12. haftanın konu başlığı nedir?,-,Hayır,Bu bilgi dokümanlarda bulunamadı.,Bu bilgi dokümanlarda bulunamadı.,lsarSist-H9_ZTransform.pdf (sayfa 1); 728_profiles.json ($.profiles[286]); 728_profiles.json ($.profiles[283]),19.72
223,Negatif,Yanlis On Kabul,728_profiles veri setinde yer alan gerçek telefon numaralarının doğrulama yöntemi nedir?,-,Hayır,Bu bilgi dokümanlarda bulunamadı.,Bu bilgi dokümanlarda bulunamadı.,728_profiles.json ($.safetyAndDataQuality); 728_profiles.json ($.profiles[397]); 728_profiles.json ($.profiles[396]),21.03
224,Negatif,Yanlis On Kabul,Bağlamdan bağımsız dilbilgisi dokümanında anlatılan Chomsky normal formuna dönüştürme adımları nelerdir?,-,Hayır,Bu bilgi dokümanlarda bulunamadı.,"Bağlamdan bağımsız dilbilgisi dokümanında anlatılan Chomsky normal formuna dönüştürme adımları şunlardır: 1. Uç simge dizgisi türeten değişkenler kümesi bulunur.
2. Yararsız değişkenler ve kurallar çıkarılır. Bu adımlar iki aşamada gerçekleştirilir: a. Değişkenlerin ve kurallarının yararlı olup olmadığı belirlenir. b. Yararsız olanlar çıkarılır.",8-Baglamdan_bagimsiz_dilbilgisi.pdf (sayfa 18); 8-Baglamdan_bagimsiz_dilbilgisi.pdf (sayfa 17); 8-Baglamdan_bagimsiz_dilbilgisi.pdf (sayfa 2),16.43
225,Negatif,Zamansal Uyumsuzluk,mock-transactions veri setinde Şubat 2024 ayına ait işlemlerin toplam tutarı nedir?,-,Hayır,Bu bilgi dokümanlarda bulunamadı.,Bu bilgi dokümanlarda bulunamadı.,mock-transactions.json (code_interpreter (code_interpreter_sandbox)),6.26
